course_name,Course_link
"Accommodation and Presbyopia - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/accommodation-and-presbyopia-standalone-module/october-2022
"Accounting and Finance BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/accounting-and-finance-bsc/september-2022
"Accounting and Finance MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/accounting-and-finance-msc/september-2022
"Adult Rehabilitation - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/adult-rehabilitation-standalone-module/january-2022
"Advanced Clinical Practice in Ocular Health MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/advanced-clinical-practice-ocular-health-msc/october-2022
"Advanced Contact Lenses - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/advanced-contact-lenses-standalone-module/october-2022
"Advanced Dental Implantology MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/advanced-dental-implantology-msc/september-2022
"Advanced Health Assessment PgCert -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/advanced-health-assessment-pgcert/october-2022
"Advanced Hearing Therapy Practice MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/advanced-hearing-therapy-practice-msc/october-2022
"Anxiety and Sleep Disorders - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/anxiety-and-sleep-disorders-standalone-module/september-2022
"Applied Artificial Intelligence (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/applied-artificial-intelligence-including-professional-practice-msc/september-2022
"Applied Artificial Intelligence MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/applied-artificial-intelligence-msc/september-2022
"Applied Chemistry BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/applied-chemistry-bsc/september-2022
"Applied Molecular Biology - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/applied-molecular-biology-standalone-module/september-2021
April Year Abroad - ,https://www.aston.ac.uk/study/courses/april-year-abroad
"Artificial Intelligence (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/artificial-intelligence-including-professional-practice-msc/january-2023
"Artificial Intelligence (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/artificial-intelligence-including-professional-practice-msc/september-2022
"Artificial Intelligence MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/artificial-intelligence-msc/january-2023
"Artificial Intelligence MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/artificial-intelligence-msc/september-2022
Artificial Intelligence with Business Strategy (including Professional Practice) MSc - ,https://www.aston.ac.uk/study/courses/artificial-intelligence-business-strategy-including-professional-practice-msc
"Artificial Intelligence with Business Strategy MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/artificial-intelligence-business-strategy-msc/september-2022
"Biochemistry BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/biochemistry-bsc/september-2022
"Biological Sciences BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/biological-sciences-bsc/september-2022
"Biomedical Engineering BEng/MEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/biomedical-engineering-bengmeng/september-2022
"Biomedical Science BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/biomedical-science-bsc/september-2022
"Biomedical Sciences top-up modules -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/biomedical-sciences-top-modules/september-2022
"Biosciences MRes -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/biosciences-mres/september-2022
"Business Analytics BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/business-analytics-bsc/september-2022
"Business Analytics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/business-analytics-msc/september-2022
"Business Analytics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/business-analytics-msc/january-2023
"Business Analytics MSc (Online) -
Online courses",https://www.aston.ac.uk/study/courses/business-analytics-msc-online-
"Business and International Relations BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/business-and-international-relations-bsc/september-2022
"Business and Management BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/business-and-management-bsc/september-2022
"Business and Management MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/business-and-management-msc/september-2022
"Business and Management MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/business-and-management-msc/january-2023
"Business and Management MSc (Online) -
Online courses",https://www.aston.ac.uk/study/courses/business-and-management-msc-online-
"Business and Mathematics BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/business-and-mathematics-bsc/september-2022
"Business and Politics BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/business-and-politics-bsc/september-2022
"Business and Sociology BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/business-and-sociology-bsc/september-2022
"Business and Supply Chain Management BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/business-and-supply-chain-management-bsc/september-2022
"Business Computing and IT BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/business-computing-and-it-bsc/september-2022
"Business Economics and Finance MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/business-economics-and-finance-msc/september-2022
"Business Enterprise Development BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/business-enterprise-development-bsc/september-2022
"Business Enterprise Development MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/business-enterprise-development-msc/september-2022
"Business Management and English Language BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/business-management-and-english-language-bsc/september-2022
"Business Management and Social Policy BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/business-management-and-social-policy-bsc/september-2022
"Business Psychology MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/business-psychology-msc/september-2022
"Cell Biology - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/cell-biology-standalone-module/september-2022
"Cellular Pathology - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/cellular-pathology-standalone-module/september-2022
Chartered Manager Degree Apprenticeship - ,https://www.aston.ac.uk/study/courses/chartered-manager-degree-apprenticeship/september-2022
"Chemical Engineering BEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/chemical-engineering-beng/september-2022
"Chemical Engineering MEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/chemical-engineering-meng/september-2022
Chemistry BSc - ,https://www.aston.ac.uk/study/courses/chemistry-bsc/september-2022
"Civil Engineering BEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/civil-engineering-beng/september-2022
"Civil Engineering MEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/civil-engineering-meng/september-2022
"Civil Infrastructure Engineering (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/civil-infrastructure-engineering-including-professional-practice-msc/september-2022
"Civil Infrastructure Engineering MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/civil-infrastructure-engineering-msc/september-2022
"Clinical Microbiology - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/clinical-microbiology-standalone-module/september-2022
"Clinical Neurophysiology Practice MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/clinical-neurophysiology-practice-msc/october-2022
"Clinical Science (Neurosensory Sciences) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/clinical-science-neurosensory-sciences-msc/september-2022
"Clinically Enhanced Independent Prescribing PgCert -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/clinically-enhanced-independent-prescribing-pgcert/october-2022
"Clinically Enhanced Prescribing in Acute and Emergency Medicine – Standalone module -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/clinically-enhanced-prescribing-in-acute-and-emergency-medicine-standalone-module
"Cognitive and Affective Neuroscience MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/cognitive-and-affective-neuroscience-msc/september-2022
"Computer Science (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/computer-science-including-professional-practice-msc/september-2022
"Computer Science BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/computer-science-bsc/september-2022
"Computer Science MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/computer-science-msc/september-2022
"Computer Science with Business BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/computer-science-business-bsc/september-2022
"Construction Management and Engineering (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/construction-management-and-engineering-including-professional-practice-msc/september
"Construction Management and Engineering MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/construction-management-and-engineering-msc/september-2022
"Construction Project Management BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/construction-project-management-bsc/september-2022
"Crisis and Disaster Management MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/crisis-and-disaster-management-msc/september-2022
"Cybersecurity BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/cybersecurity-bsc/september-2022
"Data Analytics (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/data-analytics-including-professional-practice-msc/january-2023
"Data Analytics (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/data-analytics-including-professional-practice-msc/september-2022
"Data Analytics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/data-analytics-msc/january-2023
"Data Analytics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/data-analytics-msc/september-2022
"Design Engineering BEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/design-engineering-beng/september-2022
"Design Enterprise and Innovation MSci -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/design-enterprise-and-innovation-msci/september-2022
"Digital and Technology Solutions BSc Degree Apprenticeship -
Degree apprenticeships",https://www.aston.ac.uk/study/courses/digital-and-technology-solutions-bsc-degree-apprenticeship/september-2022
"Digital and Technology Solutions Specialist MSc Degree Apprenticeship -
Degree apprenticeships",https://www.aston.ac.uk/study/courses/digital-and-technology-solutions-specialist-msc-degree-apprenticeship/september-2022
"Digital Marketing and Analytics MSc (Online) -
Online courses",https://www.aston.ac.uk/study/courses/digital-marketing-and-analytics-msc-online-
"Digital Marketing Degree Apprenticeship -
Degree apprenticeships",https://www.aston.ac.uk/study/courses/digital-marketing-degree-apprenticeship/september-2022
"Doctor of Business Administration (DBA) -
Research degrees/PhD",https://www.aston.ac.uk/study/courses/doctor-of-business-administration-dba-
"Doctor of Optometry / Doctor of Ophthalmic Science DOptom/DOphSc -
Research degrees/PhD",https://www.aston.ac.uk/study/courses/doctor-optometry-doctor-ophthalmic-science-doptomdophsc/october-2022
"Drug Delivery MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/drug-delivery-msc/september-2022
"Economics and Management BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/economics-and-management-bsc/september-2022
"Economics and Politics BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/economics-and-politics-bsc/september-2021
"Economics BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/economics-bsc/september-2022
"EEG in Practice -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/eeg-practice/september-2022
"Electrical and Electronic Engineering BEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/electrical-and-electronic-engineering-beng/september-2022
"Electrical and Electronic Engineering MEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/electrical-and-electronic-engineering-meng/september-2022
"Electrical Power Engineering FdEng -
Work-based learning",https://www.aston.ac.uk/study/courses/electrical-power-engineering-fdeng/september-2020
"Electronic Engineering and Computer Science BEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/electronic-engineering-and-computer-science-beng/september-2022
"Electronic Engineering and Computer Science MEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/electronic-engineering-and-computer-science-meng/september-2022
"Engineer Postgraduate Diploma Degree Apprenticeship -
Degree apprenticeships",https://www.aston.ac.uk/study/courses/engineer-postgraduate-diploma-degree-apprenticeship/october-2022
"Engineering Leadership & Management -
Degree apprenticeships",https://www.aston.ac.uk/study/courses/engineering-leadership-management
"Engineering Leadership and Management MSc -
Work-based learning",https://www.aston.ac.uk/study/courses/engineering-leadership-and-management-msc
"Engineering Management MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/engineering-management-msc/september-2022
"Engineering Management MSc - January 2023 -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/engineering-management-msc-january-2023/january-2023
"English Language and Literature BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/english-language-and-literature-bsc/september-2022
"English Language BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/english-language-bsc/september-2022
"English Literature and Sociology BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/english-literature-and-sociology-bsc/september-2022
"Entrepreneurship and Analytics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/entrepreneurship-and-analytics-msc/september-2022
"Entrepreneurship MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/entrepreneurship-msc/september-2022
"Europe and the World Double MA -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/europe-and-world-double-ma/september-2022
"Executive MBA -
MBA",https://www.aston.ac.uk/study/courses/executive-mba/september-2022
"Finance BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/finance-bsc/september-2022
"Finance MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/finance-msc/september-2022
"Forensic Linguistics MA -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/forensic-linguistics-ma/september-2022
"Forensic Linguistics MA (Distance Learning) -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/forensic-linguistics-ma-distance-learning/september-2022
"Foundation Degree in Hearing Aid Audiology -
Foundation programmes",https://www.aston.ac.uk/study/courses/foundation-degree-hearing-aid-audiology/september-2022
"Foundation Programme Business -
Foundation programmes",https://www.aston.ac.uk/study/courses/foundation-programme-business/september-2022
"Foundation Programme in Engineering and Applied Science -
Foundation programmes",https://www.aston.ac.uk/study/courses/foundation-programme-engineering-and-applied-science/september-2022
Foundation Programme in Science: Biosciences and Pharmacy - ,https://www.aston.ac.uk/study/courses/foundation-programme-science-biosciences-and-pharmacy/september-2022
"Foundation Programme in Science: Health Science -
Foundation programmes",https://www.aston.ac.uk/study/courses/foundation-programme-science-health-science/september-2022
"Foundation Programme in Social Sciences -
Foundation programmes",https://www.aston.ac.uk/study/courses/foundation-programme-social-sciences/september-2022
Free Academic English Tutorials - ,https://www.aston.ac.uk/study/courses/free-academic-english-tutorials
"Future Vehicle Technologies (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/future-vehicle-technologies-including-professional-practice-msc/september-2022
"Future Vehicle Technologies MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/future-vehicle-technologies-msc/september-2022
"General Ocular Therapeutics - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/general-ocular-therapeutics-standalone-module/october-2022
Glaucoma (Professionally Accredited) - ,https://www.aston.ac.uk/study/courses/glaucoma-professionally-accredited/october-2022
"Glaucoma - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/glaucoma-standalone-module/october-2022
"Global Business Management MSc (Online) -
Online courses",https://www.aston.ac.uk/study/courses/global-business-management-msc-online-
"Global Operations and Service Management MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/global-operations-and-service-management-msc/september-2022
"Governance and International Politics Double MA -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/governance-and-international-politics-double-ma/september-2022
"Haematology and Transfusion Science - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/haematology-and-transfusion-science-standalone-module/september-2022
"Health Psychology MSc (on-campus) -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/health-psychology-msc-campus/september-2022
"Health Psychology MSc (Online) -
Online courses",https://www.aston.ac.uk/study/courses/health-psychology-msc-online/september-2022
"Healthcare Science (Audiology) BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/healthcare-science-audiology-bsc/september-2022
"Healthcare Science (Audiology) BSc Direct entry to Final Year 2022 -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/healthcare-science-audiology-bsc-direct-entry-to-final-year-2021/september-2021
"Healthcare Science Practitioner: Audiology Degree Apprenticeship -
Degree apprenticeships",https://www.aston.ac.uk/study/courses/healthcare-science-practitioner-audiology-degree-apprenticeship/september-2022
"Hearing Therapy Counselling and Communications Skills -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/hearing-therapy-counselling-and-communications-skills/october-2022
"Hearing Therapy PgCert/PgDip -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/hearing-therapy-pgcert-pgdip
"History and English Literature BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/history-and-english-literature-bsc/september-2022
